trip_id,route_id,route_short_name,max_advance_min,max_delay_min
20251121-25-25090,08251125-25,25,5,10
20251121-47-47095,08251125-47,47,5,10
20251121-12-12241,08251125-12,12,5,10
20251121-30-30130,08251125-30,30,5,10
20251121-GT-3860,08251125-GT,KI,5,10
20251121-LW-1711,08251125-LW,LW,5,10
20251121-12-12313,08251125-12,12,5,10
20251121-17-17180,08251125-17,17,5,10
20251121-LW-1961,08251125-LW,LW,5,10
20251121-41-41290,08251125-41,41,5,10
20251121-12-12311,08251125-12,12,5,10
20251121-17-17230,08251125-17,17,5,10
20251121-LW-1016,08251125-LW,LW,5,10
20251121-12-12361,08251125-12,12,5,10
20251121-25-25532,08251125-25,25,5,10
20251121-56-56470,08251125-56,56,5,10
20251121-LW-1879,08251125-LW,LW,5,10
20251121-12-12691,08251125-12,12,5,10
20251121-17-17650,08251125-17,17,5,10
20251121-LW-1629,08251125-LW,LW,5,10
20251121-12-12781,08251125-12,12,5,10
20251121-25-25652,08251125-25,25,5,10
20251121-41-41641,08251125-41,41,5,10
